,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,id,index
0,0,0,0,0,0,0,0,0,50,50,90,90,45,10,0,0,0,0,0,0,0,0,0,0,7518.0,4242.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7555.0,4271.0
0,13,13,11,11,30,59,190,234,541,876,908,1030,1051,937,840,808,691,549,498,437,351,202,78,36,7571.0,4284.0
0,13,13,11,11,30,59,113,132,456,820,869,992,1007,887,793,751,606,456,429,393,324,186,66,28,7572.0,4285.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7626.0,4321.0
0,77,54,31,4,13,94,361,569,846,1034,1289,1906,1934,1639,1404,1353,1547,1827,1826,1486,977,574,279,153,7682.0,4355.0
0,33,33,27,27,29,83,167,327,431,425,388,347,324,325,332,317,355,306,269,222,187,162,115,64,7699.0,4367.0
0,0,0,0,0,0,33,44,44,55,55,55,44,44,33,22,22,11,22,22,33,44,33,22,11,7789.0,4429.0
0,38,40,52,27,41,156,383,604,953,1344,1918,3195,3118,2455,2108,2023,2084,2234,1977,1403,879,442,112,65,7845.0,4470.0
0,2,1,1,1,1,77,136,128,141,245,249,313,289,239,250,320,374,414,348,292,175,95,27,10,7857.0,4478.0
0,31,8,4,4,4,57,509,989,1563,2447,3202,4450,4413,3915,3421,3094,3258,3272,2956,2485,1725,909,318,111,8046.0,4610.0
0,4,0,0,0,0,62,193,295,258,321,332,390,349,323,330,405,387,325,297,190,87,48,36,25,8200.0,4697.0
0,0,0,0,0,0,0,0,47,83,93,87,71,48,51,140,189,157,111,73,31,8,0,0,0,8225.0,4714.0
0,0,0,0,0,0,0,0,95,172,196,249,255,229,228,224,174,103,44,12,3,0,0,0,0,8239.0,4721.0
0,228,122,58,38,48,204,766,1715,3982,6336,7674,10118,10102,8769,7783,7398,7325,6540,5544,4234,2960,1860,971,568,8240.0,4722.0
0,8,2,2,2,7,152,333,396,476,702,962,1057,1047,998,992,973,860,704,486,383,246,149,97,69,8241.0,4723.0
0,119,50,24,26,41,305,770,1465,2640,4033,6822,9079,9355,8777,8063,7884,8258,8431,7312,5142,2910,1410,688,294,8268.0,4742.0
0,0,0,0,0,0,9,30,54,317,548,748,972,1033,1011,952,941,905,821,567,363,171,70,19,3,8576.0,4952.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8771.0,5067.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8781.0,5074.0
0,140,52,37,32,31,116,406,1008,1512,2104,2892,4115,4328,3870,3470,3683,4534,5275,5237,4268,2793,1576,698,332,9072.0,5252.0
0,114,85,82,85,129,179,359,415,467,615,628,636,638,631,584,504,433,348,277,215,177,142,128,97,9076.0,5255.0
0,0,0,0,0,0,0,1,69,350,714,890,1045,1100,1139,1063,1036,890,704,438,219,100,35,6,1,9214.0,5338.0
0,13,0,1,1,1,1,24,48,79,120,188,218,248,285,333,373,413,404,389,317,234,150,84,45,9262.0,5366.0
0,0,0,0,0,0,0,2,72,334,439,569,631,740,730,592,469,444,551,506,301,120,111,17,0,9355.0,5415.0
0,0,0,0,0,0,0,4,13,90,63,81,112,103,108,54,63,58,13,9,4,0,0,0,0,9377.0,5427.0
0,0,0,0,0,0,73,255,401,696,1114,1352,1413,1432,1436,1256,1202,1131,1006,848,505,206,89,13,1,9382.0,5431.0
0,8,11,26,1,7,185,553,875,1196,1495,1800,3355,3157,2205,1705,1684,2028,2401,2148,1443,836,451,131,46,9383.0,5432.0
0,131,31,23,18,17,57,266,858,1518,2167,2962,3873,4048,3790,3550,3636,4200,4581,4460,3653,2397,1361,590,288,9384.0,5433.0
0,59,27,15,13,3,75,197,378,710,913,1250,1959,2111,1922,1692,1632,1668,1650,1458,1157,813,469,237,124,9385.0,5434.0
0,82,31,19,17,7,169,339,543,863,1219,1632,2396,2572,2366,2115,1971,1914,1875,1727,1431,1055,692,399,196,9386.0,5435.0
0,18,2,2,18,18,30,159,497,1175,2046,2437,2728,2845,2935,2835,2561,2425,2257,1718,1115,619,225,78,30,9387.0,5436.0
0,0,0,0,0,0,0,124,153,164,182,208,218,197,150,109,78,78,73,62,44,25,7,0,0,9388.0,5437.0
0,0,0,0,0,0,0,23,55,63,93,140,220,202,150,138,154,158,108,72,55,30,0,0,0,9411.0,5451.0
0,1,1,1,1,1,5,40,212,552,903,953,1057,998,960,1044,1110,1082,877,600,335,165,69,13,3,9722.0,5680.0
0,0,0,0,0,0,0,0,0,0,0,0,20,25,25,26,36,55,71,70,52,28,11,0,0,9770.0,5713.0
0,9,6,6,6,6,62,119,252,286,550,749,941,928,871,850,821,721,546,381,277,170,91,37,21,9852.0,5770.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9970.0,5857.0
0,0,0,0,0,0,26,66,222,349,756,835,931,967,905,832,763,656,506,370,170,58,3,0,0,10020.0,5892.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10085.0,5935.0
0,140,54,39,30,26,99,360,845,1184,1620,2559,4037,4186,3515,3001,3104,3722,4064,3831,3051,2007,1192,550,298,10221.0,6028.0
0,125,47,32,27,26,74,278,857,1094,1354,1946,3227,3373,2781,2431,2594,3210,3651,3567,2866,1890,1098,440,246,10222.0,6029.0
0,91,41,1,1,16,91,604,1205,2448,3380,4052,5308,5162,4460,4024,3902,4049,3638,3084,2425,1692,987,558,367,10599.0,6190.0
0,1,0,0,0,0,62,39,82,168,409,1938,2610,2807,2695,2436,2407,2611,2614,2277,1367,524,122,28,9,11016.0,6446.0
0,0,0,0,0,0,0,0,156,202,329,418,531,503,451,464,420,357,272,216,157,77,18,0,0,11223.0,6593.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11330.0,6672.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11334.0,6674.0
0,0,0,0,0,0,0,0,0,27,104,114,102,88,85,89,99,107,98,98,71,34,3,0,0,11341.0,6680.0
0,0,0,0,0,31,116,284,677,1088,1475,1646,1715,1695,1613,1474,1320,1074,780,539,285,122,69,8,1,11481.0,6784.0
0,0,0,0,0,0,0,35,159,177,159,164,140,122,152,188,154,71,0,0,0,0,0,0,0,11492.0,6795.0
0,136,59,7,3,16,130,590,1391,3954,5926,7411,9802,9660,8183,7272,6781,6292,4933,3970,3065,2100,1271,689,453,11507.0,6805.0
0,0,0,0,0,0,24,31,171,221,356,374,374,354,272,220,218,220,169,127,71,27,1,0,0,11580.0,6855.0
0,0,0,0,1,21,90,150,162,168,157,149,333,351,308,278,321,375,358,316,231,116,49,1,0,11774.0,6974.0
0,0,0,0,0,0,0,6,6,50,97,128,126,123,146,117,64,33,13,0,0,0,0,0,0,11775.0,6975.0
0,0,0,0,0,0,152,322,390,519,742,756,778,826,844,790,742,697,613,447,250,106,30,2,0,11776.0,6976.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11787.0,6987.0
0,0,0,0,0,0,0,0,0,82,330,349,301,315,324,289,273,212,37,0,0,0,0,0,0,11981.0,7126.0
0,110,62,26,19,27,122,245,562,1320,1911,2671,3327,3384,3065,2822,2557,2527,2550,2333,1836,1320,830,370,210,12192.0,7246.0
0,32,7,5,5,12,90,187,509,1099,1821,2469,2964,3130,2986,2663,2263,2077,1999,1953,1532,1082,662,293,115,12193.0,7247.0
0,143,62,14,7,8,88,402,774,1759,2752,3461,4614,4914,4491,4015,3832,4017,4522,4150,3274,2207,1384,721,403,12250.0,7282.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12251.0,7283.0
0,0,0,0,0,0,108,86,260,330,400,517,637,666,639,639,617,483,336,242,166,90,33,7,0,12252.0,7284.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12298.0,7321.0
0,19,13,26,38,28,94,252,565,784,1063,1219,1482,1512,1483,1469,1311,1234,1204,1061,834,549,318,98,61,12403.0,7394.0
0,0,0,0,0,0,148,310,503,918,1295,1517,1707,1625,1422,1352,1383,1298,964,665,339,144,33,13,0,12610.0,7537.0
0,1,0,0,0,0,13,52,244,680,915,1162,1307,1266,1190,1226,1281,1235,1053,774,431,229,105,33,4,12611.0,7538.0
0,0,0,0,0,0,30,110,307,573,898,954,1167,1125,1109,1036,995,877,687,501,349,91,22,1,0,12633.0,7552.0
0,0,0,0,0,0,0,0,0,0,0,7,8,8,7,7,7,9,10,0,0,0,0,0,0,12881.0,7717.0
0,0,0,0,0,0,0,0,0,9,95,116,108,90,80,77,64,50,57,58,19,0,0,0,0,13000.0,7796.0
0,265,150,98,69,101,279,818,1463,2204,3461,4189,5469,5510,5008,4638,4460,4809,5363,5257,4060,2677,1852,1054,529,13034.0,7822.0
0,0,0,0,0,0,0,66,406,848,944,996,1226,1266,1224,1119,1184,1242,1161,921,555,169,38,0,0,13087.0,7856.0
0,0,0,0,0,0,0,0,0,0,63,95,99,126,147,134,95,61,34,24,14,0,0,0,0,13290.0,7979.0
0,123,49,28,29,66,101,189,755,1697,2175,2356,2696,2655,2426,2338,2238,2270,2653,2850,2645,1977,1136,497,173,13419.0,8060.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13484.0,8100.0
0,86,18,0,0,1,89,421,800,1342,2463,3368,4381,4543,4119,3670,3599,3952,4517,4182,3217,2099,1282,676,330,13549.0,8139.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13584.0,8158.0
0,0,0,0,0,0,0,1,1,3,5,8,10,12,13,15,20,27,29,25,20,15,7,1,1,13880.0,8383.0
0,0,0,0,0,0,0,0,81,249,365,363,384,383,323,286,249,184,100,36,13,4,0,0,0,13886.0,8388.0
0,3,3,3,3,3,3,109,313,386,416,614,810,762,634,584,570,443,316,225,116,47,16,6,3,14000.0,8447.0
0,0,0,0,0,0,0,0,1,139,315,539,574,576,585,621,646,647,609,476,309,224,92,16,0,14176.0,8562.0
0,0,0,0,0,0,27,63,95,125,139,171,229,201,181,219,210,191,229,204,102,21,8,0,0,14213.0,8590.0
